epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.588,1.57913,1.59384,0.96771,0.83524,0.59271,0.707,0.41178,1.35187,1.16143,0.96368,0.000665205,0.000665205,0.000665205
2,319.369,1.5095,1.04653,0.97161,0.83173,0.65535,0.75297,0.4618,1.26444,0.88348,0.94916,0.0013055,0.0013055,0.0013055
3,477.176,1.45511,0.93946,0.961,0.87949,0.5989,0.72086,0.46066,1.22634,0.8631,0.9588,0.0019194,0.0019194,0.0019194
4,635.169,1.44369,0.91253,0.95819,0.83273,0.66464,0.76284,0.4673,1.23844,0.85207,0.95612,0.0018812,0.0018812,0.0018812
5,793.16,1.37769,0.84931,0.9376,0.85145,0.68186,0.78422,0.48494,1.20783,0.77082,0.94799,0.0018416,0.0018416,0.0018416
6,950.971,1.36126,0.84201,0.93322,0.81821,0.69312,0.77397,0.46296,1.24685,0.75696,0.96004,0.001802,0.001802,0.001802
7,1108.61,1.30175,0.79757,0.92308,0.8719,0.69267,0.80484,0.50012,1.17808,0.7343,0.9406,0.0017624,0.0017624,0.0017624
8,1266.36,1.28166,0.77961,0.91292,0.81992,0.68761,0.77964,0.48155,1.14067,0.71359,0.93446,0.0017228,0.0017228,0.0017228
9,1424.93,1.29636,0.79947,0.9217,0.8675,0.71513,0.8117,0.5254,1.09213,0.71486,0.91698,0.0016832,0.0016832,0.0016832
10,1582.73,1.26457,0.76533,0.9142,0.86459,0.70719,0.80964,0.52922,1.09764,0.69047,0.91489,0.0016436,0.0016436,0.0016436
11,1741.09,1.23228,0.7362,0.90521,0.86319,0.72663,0.817,0.52433,1.1014,0.68101,0.91781,0.001604,0.001604,0.001604
12,1899.14,1.22041,0.72544,0.90889,0.86447,0.72036,0.81482,0.52134,1.10119,0.68019,0.92064,0.0015644,0.0015644,0.0015644
13,2056.61,1.2319,0.72949,0.90059,0.86367,0.71141,0.81328,0.52936,1.08553,0.66058,0.91924,0.0015248,0.0015248,0.0015248
14,2214.48,1.22398,0.72022,0.91119,0.86863,0.731,0.82159,0.51924,1.11755,0.65454,0.91607,0.0014852,0.0014852,0.0014852
15,2371.89,1.17614,0.70064,0.89455,0.88946,0.71333,0.82993,0.54331,1.06369,0.63814,0.91055,0.0014456,0.0014456,0.0014456
16,2529.78,1.20682,0.70975,0.90535,0.8816,0.73134,0.82902,0.53277,1.08312,0.64654,0.91063,0.001406,0.001406,0.001406
17,2687.11,1.18115,0.6913,0.88705,0.87065,0.73387,0.82557,0.54475,1.02792,0.62896,0.90411,0.0013664,0.0013664,0.0013664
18,2844.82,1.17799,0.68725,0.89255,0.8591,0.70871,0.80542,0.51613,1.08901,0.66112,0.91209,0.0013268,0.0013268,0.0013268
19,3002.3,1.16777,0.6929,0.89397,0.88562,0.73455,0.8374,0.5421,1.0573,0.63352,0.90568,0.0012872,0.0012872,0.0012872
20,3160.02,1.16481,0.68922,0.89366,0.87288,0.75447,0.84535,0.54978,1.03453,0.60182,0.90251,0.0012476,0.0012476,0.0012476
21,3317.63,1.15052,0.67392,0.88981,0.87757,0.75127,0.84651,0.5463,1.0514,0.60035,0.90176,0.001208,0.001208,0.001208
22,3475.34,1.13798,0.65455,0.88336,0.87341,0.72965,0.82923,0.54248,1.03854,0.60401,0.90018,0.0011684,0.0011684,0.0011684
23,3636.65,1.15052,0.66227,0.88038,0.86597,0.75566,0.84034,0.55305,1.04356,0.59585,0.89772,0.0011288,0.0011288,0.0011288
24,3795.19,1.131,0.65942,0.87968,0.87559,0.73923,0.83044,0.54556,1.03683,0.59811,0.89967,0.0010892,0.0010892,0.0010892
25,3952.69,1.13663,0.6489,0.88255,0.86867,0.76284,0.85075,0.55808,1.03057,0.5895,0.89888,0.0010496,0.0010496,0.0010496
26,4110.15,1.1205,0.63374,0.87675,0.88977,0.75667,0.85506,0.56234,1.02628,0.58277,0.90012,0.00101,0.00101,0.00101
27,4273.12,1.1046,0.63011,0.87525,0.88093,0.75549,0.85308,0.55396,1.03983,0.58701,0.89912,0.0009704,0.0009704,0.0009704
28,4435.48,1.10752,0.63259,0.87577,0.88184,0.75994,0.84902,0.55773,1.01071,0.57179,0.8939,0.0009308,0.0009308,0.0009308
29,4598.52,1.11294,0.63461,0.87968,0.88886,0.76393,0.86005,0.57208,1.00336,0.57197,0.89478,0.0008912,0.0008912,0.0008912
30,4756.77,1.09843,0.61521,0.87304,0.87249,0.76951,0.85273,0.55527,1.04937,0.57243,0.90275,0.0008516,0.0008516,0.0008516
31,4914.63,1.08858,0.62082,0.87627,0.89931,0.75864,0.8578,0.56734,1.02115,0.5642,0.89682,0.000812,0.000812,0.000812
32,5072.67,1.10148,0.61213,0.87152,0.88686,0.77508,0.86651,0.58156,0.99211,0.55294,0.89029,0.0007724,0.0007724,0.0007724
33,5230.23,1.07414,0.59799,0.86828,0.87199,0.76461,0.85397,0.55309,1.03246,0.57443,0.89181,0.0007328,0.0007328,0.0007328
34,5386.63,1.06652,0.59674,0.87426,0.88099,0.75752,0.84742,0.56304,0.99316,0.5529,0.88518,0.0006932,0.0006932,0.0006932
35,5543.62,1.06368,0.60083,0.86704,0.87821,0.77693,0.86373,0.57481,0.98553,0.54286,0.88293,0.0006536,0.0006536,0.0006536
36,5700.56,1.05586,0.59154,0.87018,0.89232,0.77423,0.86754,0.58473,0.96988,0.53397,0.88413,0.000614,0.000614,0.000614
37,5857.25,1.05605,0.59135,0.86607,0.90155,0.75149,0.85579,0.56788,0.98393,0.54084,0.88561,0.0005744,0.0005744,0.0005744
38,6014.42,1.05854,0.58819,0.86395,0.8957,0.76917,0.86405,0.58524,0.95813,0.52796,0.8823,0.0005348,0.0005348,0.0005348
39,6171.63,1.04776,0.58472,0.86263,0.90748,0.7751,0.87269,0.58315,0.98307,0.5353,0.8862,0.0004952,0.0004952,0.0004952
40,6328.61,1.05764,0.57417,0.86518,0.88494,0.78183,0.86298,0.58956,0.94391,0.51979,0.88125,0.0004556,0.0004556,0.0004556
41,6514.37,1.00431,0.56079,0.8708,0.89604,0.77879,0.8691,0.59537,0.93882,0.5193,0.88043,0.000416,0.000416,0.000416
42,6677.05,0.99064,0.54515,0.86377,0.89482,0.78571,0.87553,0.58986,0.96045,0.51405,0.87981,0.0003764,0.0003764,0.0003764
43,6839.93,0.97932,0.54648,0.87026,0.89461,0.78588,0.87419,0.58329,0.97931,0.52604,0.88339,0.0003368,0.0003368,0.0003368
44,6998.81,0.98844,0.54383,0.8658,0.89003,0.79129,0.87498,0.5863,0.9806,0.51893,0.88068,0.0002972,0.0002972,0.0002972
45,7156.58,0.97974,0.53782,0.86553,0.89823,0.77795,0.8728,0.5886,0.95952,0.51537,0.87904,0.0002576,0.0002576,0.0002576
46,7313.91,0.97132,0.52729,0.86456,0.89873,0.77474,0.87126,0.58608,0.96475,0.51032,0.87818,0.000218,0.000218,0.000218
47,7471.23,0.95403,0.51993,0.86534,0.89841,0.78858,0.87971,0.59121,0.96957,0.50708,0.88115,0.0001784,0.0001784,0.0001784
48,7628.82,0.95239,0.51907,0.85914,0.89665,0.78964,0.87657,0.59412,0.93916,0.50182,0.87581,0.0001388,0.0001388,0.0001388
49,7786.3,0.94173,0.51519,0.8628,0.89803,0.7882,0.87811,0.59742,0.9366,0.49728,0.87483,9.92e-05,9.92e-05,9.92e-05
50,10040.6,0.94348,0.50924,0.86186,0.89739,0.79314,0.88006,0.59992,0.9352,0.49193,0.87499,5.96e-05,5.96e-05,5.96e-05
